115281	7天连锁酒店（北京鸟巢体育场店）	116.43282627164	40.001412932979	207	171	4.0
115287	7天连锁酒店（北京大观园店）	116.35177161079	39.880613787259	177	78	3.7
115288	7天连锁酒店（北京总部基地店）	116.29370655692	39.827669092999	177	101	3.7
115294	7天连锁酒店（北京刘家窑店）	116.43011665082	39.864880560926	227	107	4.1
115295	7天连锁酒店（北京天坛店）	116.42845632793	39.881934461959	217	113	4.1
115317	7天连锁酒店（北京望京南湖东园店）	116.4692502671	40.009160826896	257	185	3.8
115318	7天连锁酒店（北京西客站南广场店）	116.33050784425	39.899471654333	287	313	4.0
115347	7天连锁酒店（北京工业大学店）	116.48182675538	39.886194408473	207	92	3.8
115358	7天连锁酒店（北京长虹桥东店）	116.47799814052	39.93430172303	217	73	3.8
115364	7天连锁酒店（北京石景山古城二店）	116.19848837123	39.923598543101	197	78	4.1
115388	7天连锁酒店（北京大郊亭店）	116.50023472898	39.898742623877	197	55	3.8
115399	7天连锁酒店（北京紫竹桥店）	116.30884065384	39.942266959989	227	112	3.9
115416	7天连锁酒店（北京六里桥地铁站店）	116.30081536154	39.883340558866	177	79	4.0
115421	7天连锁酒店（北京首都师范大学店）	116.32544737082	39.939725651269	267	171	4.3
115422	7天连锁酒店（北京马甸桥北店）	116.39042472302	39.976799972792	207	168	4.0
115453	7天连锁酒店(北京定慧寺店)	116.2758349584	39.937150963171	167	108	4.0
115479	7天连锁酒店（北京天安门店）	116.38919942049	39.910623073349	307	126	3.8
115482	7天连锁酒店（北京马甸桥店）	116.38779184549	39.973427922394	207	124	3.9
115490	7天连锁酒店（北京安贞店）	116.40659574513	39.9790341836	287	112	3.8
115491	7天连锁酒店（北京华威店）	116.48151984401	39.876802302511	217	66	4.1
115492	7天连锁酒店（北京金融街店）	116.35641336112	39.935929663059	277	19	4.1
115493	7天连锁酒店（北京上地店）	116.31059951968	40.048099210327	257	433	3.9
115494	7天连锁酒店（北京望京店）	116.47786925784	39.999726835674	287	61	3.9
115495	7天连锁酒店（北京学院路店）	116.35852072544	40.010826217004	247	227	4.0
115565	7天连锁酒店（北京潘家园店）	116.45576702007	39.886135065621	207	117	3.9
115619	7天连锁酒店（北京朝阳路店）	116.53491323641	39.927115485405	197	151	3.7
115624	7天连锁酒店（北京昌平西关店）	116.22891268087	40.224714303583	147	100	4.0
115632	7天连锁酒店（北京石景山古城首钢店）	116.1827960959	39.920147586568	167	77	3.9
115638	7天连锁酒店（北京农大南路店）	116.27584152549	40.030641441904	257	38	4.0
115643	7天连锁酒店（北京密云鼓楼大街店）	116.85859068966	40.381986843726	137	92	4.2
115644	7天连锁酒店（北京天坛东门店）	116.43989256171	39.891991207375	207	44	3.6
115645	7天连锁酒店（北京通州八里桥店）	116.63807654919	39.921976626709	157	46	4.1
115646	7天连锁酒店（北京学院路二店）（原北京清华园店）	116.35306755793	40.021299153339	207	87	3.8
115647	7天连锁酒店（北京清河店）	116.36094983099	40.042947154903	247	59	4.0
115664	7天连锁酒店（北京大成路店）	116.26401442877	39.896066595731	167	1	4.0
115665	7天连锁酒店（北京双井家乐福店）	116.48022561861	39.898350269799	217	151	4.1
115681	7天连锁酒店（北京西三旗店）	116.33838514298	40.06408784365	187	177	4.0
115693	7天连锁酒店（北京丰管路店）	116.29981034622	39.863309673833	187	55	3.9
115704	7天连锁酒店（北京东直门店）	116.44693304759	39.948409132626	317	11	3.6
115705	7天连锁酒店（北京朝阳门店）	116.42961021584	39.929694135489	257	237	4.0
115714	7天连锁酒店（北京团结湖店）	116.4727268062	39.934119991464	257	87	3.9
